Customer ,Type,Branding,Status,"Number of 
Equipments",Number of doors
106339,Cooler,Soft Drinks,placed,1,"0,3"
106339,Cooler,Energy,placed,1,"0,7"
111848,Cooler,Water,placed,2,2
111848,Cooler,Soft Drinks,placed,1,2
100944,Cooler,Soft Drinks,placed,1,2
112013,Cooler,Soft Drinks,placed,1,1
100942,Cooler,Soft Drinks,placed,1,2
100948,Cooler,Soft Drinks,placed,1,2
108078,Cooler,Soft Drinks,placed,1,1
104018,Cooler,Energy,placed,1,"0,7"
103521,Cooler,Water,placed,1,"1,5"
103521,Cooler,Soft Drinks,placed,1,2
103521,Cooler,Energy,placed,1,"0,7"
111964,Cooler,Water,placed,1,"1,5"
111964,Cooler,Soft Drinks,placed,1,"1,5"
100762,Cooler,Water,placed,1,"1,5"
100762,Cooler,Soft Drinks,placed,1,"1,5"
100762,Cooler,Energy,placed,1,"0,7"
106719,Cooler,Water,placed,1,1
106719,Cooler,Soft Drinks,placed,1,2
103520,Cooler,Water,placed,1,1
104024,Cooler,Water,placed,1,1
104024,Cooler,Soft Drinks,placed,1,1
100761,Cooler,Water,placed,2,3
104256,Cooler,Water,placed,1,"1,5"
104256,Cooler,Soft Drinks,placed,1,2
103519,Cooler,Water,placed,1,"1,5"
103519,Cooler,Soft Drinks,placed,1,2
104025,Cooler,Water,placed,1,"1,5"
104025,Cooler,Soft Drinks,placed,1,"1,5"
104461,Cooler,Soft Drinks,placed,1,"1,5"
103390,Cooler,Soft Drinks,placed,1,1
103397,Cooler,Water,placed,1,1
103397,Cooler,Soft Drinks,placed,1,2
104180,Cooler,Soft Drinks,placed,2,"2,2"
104058,Cooler,Soft Drinks,placed,1,2
106283,Cooler,Soft Drinks,placed,1,"1,5"
100158,Cooler,Soft Drinks,placed,1,1
104422,Cooler,Soft Drinks,placed,1,"1,5"
104422,Cooler,Energy,placed,1,1
100286,Cooler,Water,placed,1,1
100286,Cooler,Soft Drinks,placed,1,2
100758,Coffee,Coffee ,placed,1,0
100758,Cooler,Water,placed,3,"4,5"
100758,Cooler,Soft Drinks,placed,2,"1,8"
100758,Cooler,Energy,placed,1,"0,7"
100757,Coffee,Coffee ,placed,1,0
100757,Cooler,Water,placed,2,"3,5"
100757,Cooler,Soft Drinks,placed,2,"1,8"
100757,Cooler,Energy,placed,1,"0,7"
103536,Cooler,Soft Drinks,placed,1,"1,5"
102935,Cooler,Water,placed,1,1
102935,Cooler,Soft Drinks,placed,1,2
102935,Cooler,Energy,placed,1,"0,7"
102935,Cooler,Energy,placed,1,"0,7"
106282,Cooler,Soft Drinks,placed,1,"1,5"
103100,Cooler,Water,placed,2,"2,5"
103100,Cooler,Soft Drinks,placed,1,"1,5"
103101,Cooler,Water,placed,1,1
103101,Cooler,Soft Drinks,placed,1,2
104122,Cooler,Water,placed,2,2
104122,Cooler,Soft Drinks,placed,1,2
104122,Cooler,Energy,placed,1,"0,7"
104098,Cooler,Water,placed,1,1
104091,Cooler,Soft Drinks,placed,1,1
111977,Cooler,Water,placed,1,1
102675,Cooler,Soft Drinks,placed,1,1
103417,Cooler,Water,placed,1,"1,5"
104472,Cooler,Water,placed,1,1
111968,Cooler,Soft Drinks,placed,1,2
111968,Cooler,Energy,placed,1,"0,7"
103456,Cooler,Soft Drinks,placed,1,"1,5"
103694,Cooler,Water,placed,1,2
103694,Cooler,Soft Drinks,placed,1,2
111974,Coffee,Coffee ,placed,2,0
111974,Cooler,Soft Drinks,placed,1,"1,5"
106723,Cooler,Water,placed,3,5
106723,Cooler,Energy,placed,1,"0,7"
100801,Cooler,Soft Drinks,placed,3,6
100801,Cooler,Energy,placed,1,"0,7"
112007,Cooler,Water,placed,1,1
112007,Cooler,Soft Drinks,placed,1,1
112007,Cooler,Energy,placed,1,"0,7"
103394,Cooler,Soft Drinks,placed,1,2
104438,Cooler,Water,placed,1,1
104438,Cooler,Soft Drinks,placed,1,1
105280,Cooler,Soft Drinks,placed,1,1
104418,Cooler,Water,placed,1,1
104418,Cooler,Soft Drinks,placed,1,1
104627,Cooler,Water,placed,1,1
104627,Cooler,Soft Drinks,placed,1,1
102627,Cooler,Soft Drinks,placed,1,1
102676,Cooler,Soft Drinks,placed,1,1
102673,Cooler,Soft Drinks,placed,1,1
101064,Cooler,Soft Drinks,placed,1,2
101064,Cooler,Energy,placed,1,"0,7"
104435,Cooler,Water,placed,1,"1,5"
104435,Cooler,Soft Drinks,placed,1,"1,5"
106661,Cooler,Water,placed,1,1
106661,Cooler,Soft Drinks,placed,2,3
106661,Cooler,Energy,placed,1,"0,7"
104436,Cooler,Water,placed,1,1
104436,Cooler,Soft Drinks,placed,1,1
104437,Cooler,Soft Drinks,placed,1,2
106738,Cooler,Soft Drinks,placed,2,3
106738,Cooler,Energy,placed,1,"0,7"
107214,Cooler,Soft Drinks,placed,1,"1,5"
102714,Cooler,Soft Drinks,placed,1,2
102714,Cooler,Energy,placed,1,1
102841,Cooler,Water,placed,1,1
102841,Cooler,Soft Drinks,placed,1,1
112026,Cooler,Soft Drinks,placed,2,"3,5"
106995,Cooler,Soft Drinks,placed,1,1
107282,Cooler,Water,placed,1,1
107282,Cooler,Soft Drinks,placed,1,"1,5"
104796,Cooler,Water,placed,1,1
104725,Cooler,Soft Drinks,placed,1,"1,5"
104725,Cooler,Energy,placed,1,"0,7"
102681,Cooler,Water,placed,1,"1,5"
102681,Cooler,Soft Drinks,placed,1,"1,5"
100701,Cooler,Soft Drinks,placed,1,"1,5"
101178,Cooler,Water,placed,1,1
101303,Cooler,Soft Drinks,placed,1,1
102718,Cooler,Soft Drinks,placed,1,2
104704,Cooler,Water,placed,1,1
102720,Cooler,Soft Drinks,placed,1,1
111950,Cooler,Soft Drinks,placed,1,2
111950,Cooler,Energy,placed,1,"0,7"
112019,Coffee,Coffee ,placed,1,0
112019,Cooler,Water,placed,1,"1,5"
112019,Cooler,Soft Drinks,placed,1,2
112019,Cooler,Energy,placed,1,"0,7"
104778,Cooler,Water,placed,1,"1,5"
104778,Cooler,Soft Drinks,placed,1,"1,5"
104778,Cooler,Energy,placed,1,"0,7"
104774,Cooler,Soft Drinks,placed,1,2
102721,Cooler,Soft Drinks,placed,2,3
106269,Cooler,Water,placed,1,"1,5"
106269,Cooler,Soft Drinks,placed,1,2
107251,Cooler,Soft Drinks,placed,1,1
107251,Cooler,Energy,placed,1,"0,7"
112022,Cooler,Water,placed,1,2
112022,Cooler,Soft Drinks,placed,1,2
101179,Cooler,Soft Drinks,placed,1,2
101305,Cooler,Soft Drinks,placed,1,"1,5"
101305,Cooler,Energy,placed,1,"0,7"
104795,Cooler,Water,placed,1,1
104795,Cooler,Soft Drinks,placed,1,1
104795,Cooler,Energy,placed,1,"0,7"
104777,Cooler,Water,placed,1,1
104777,Cooler,Soft Drinks,placed,1,"1,5"
104758,Cooler,Water,placed,1,1
104776,Cooler,Water,placed,1,2
101052,Cooler,Water,placed,2,2
101052,Cooler,Soft Drinks,placed,1,2
