Calendar day,Customer,BGN,CS
2.1.2025,103728,"30,57",11
2.1.2025,100122,"11,12",4
2.1.2025,100365,"2,78",1
2.1.2025,101286,"13,9",5
2.1.2025,103078,"27,79",10
2.1.2025,103907,"16,68",6
2.1.2025,101778,"27,79",10
2.1.2025,102466,"17,83","6,417"
2.1.2025,103812,"33,35",12
2.1.2025,102736,"5,56",2
2.1.2025,103165,"2,78",1
2.1.2025,104163,"2,78",1
2.1.2025,107245,"5,56",2
2.1.2025,101252,"30,57",11
2.1.2025,102903,"19,45",7
2.1.2025,101229,"8,34",3
2.1.2025,111918,"19,45",7
2.1.2025,102468,"5,56",2
2.1.2025,101686,"8,34",3
2.1.2025,102600,"15,29","5,5"
2.1.2025,104356,"25,01",9
2.1.2025,103822,"80,67","29,025"
2.1.2025,102884,"8,34",3
2.1.2025,103537,"22,23",8
2.1.2025,103954,"19,45",7
2.1.2025,102900,"11,12",4
2.1.2025,100984,"5,56",2
2.1.2025,111931,"16,68",6
2.1.2025,101688,"16,68",6
2.1.2025,102474,"13,9",5
2.1.2025,112090,"66,7",24
2.1.2025,103215,"11,12",4
2.1.2025,101411,"2,78",1
2.1.2025,100384,"5,56",2
2.1.2025,107235,"44,47",16
2.1.2025,100904,"2,78",1
2.1.2025,103378,"11,12",4
2.1.2025,102087,"2,78",1
2.1.2025,101955,"8,34",3
2.1.2025,102383,"5,56",2
2.1.2025,103261,"22,23",8
2.1.2025,103204,"18,07","6,5"
2.1.2025,104032,"2,78",1
2.1.2025,101962,"8,34",3
2.1.2025,100690,"38,91",14
2.1.2025,101102,"544,74",196
2.1.2025,102152,"41,69",15
2.1.2025,101967,"8,34",3
2.1.2025,103184,"5,56",2
2.1.2025,103210,"4,17","1,5"
2.1.2025,111917,"37,52","13,5"
2.1.2025,103280,"2,78",1
2.1.2025,100741,"5,56",2
2.1.2025,101769,"30,57",11
2.1.2025,100335,"8,34",3
2.1.2025,103050,"38,91",14
2.1.2025,103586,"8,34",3
2.1.2025,102473,"33,35",12
2.1.2025,103653,"8,34",3
2.1.2025,103621,"5,56",2
2.1.2025,102463,"9,73","3,5"
2.1.2025,100412,"1,39","0,5"
2.1.2025,103320,"2,78",1
2.1.2025,100095,"11,12",4
2.1.2025,103736,"5,56",2
2.1.2025,103484,"2,78",1
2.1.2025,100148,"8,34",3
2.1.2025,103452,"2,78",1
2.1.2025,103511,"2,78",1
2.1.2025,101156,"13,9",5
2.1.2025,101944,"36,13",13
2.1.2025,103448,"5,56",2
2.1.2025,103340,"16,68",6
2.1.2025,103596,"11,12",4
2.1.2025,103517,"2,78",1
2.1.2025,103509,"5,56",2
2.1.2025,101236,"44,47",16
2.1.2025,102163,"5,56",2
2.1.2025,103962,"8,34",3
2.1.2025,102471,"8,34",3
2.1.2025,100310,"34,74","12,5"
2.1.2025,103415,"50,03",18
2.1.2025,100662,"2,78",1
2.1.2025,102806,"36,13",13
2.1.2025,101772,"8,34",3
