Customer,Customer Name,Region,City,Trade Channel,Segment,Seasonal,Тype
101935,JK Rolling ЕООД,Добрич,АЛБЕНА,Local Shop,Bronze,Not Seasonal,At Home
110683,СКАРА КАУФЛАНД ЕООД,Бургас,БУРГАС,Restaurant,Silver,Not Seasonal,Out of Home
101240,Барбуня ЕООД,Ямбол,ЯМБОЛ,Cafe,Bronze,Not Seasonal,At Home
104865,Време е за теб ЕООД,Варна,ВАРНА,Cafe,Bronze,Not Seasonal,Out of Home
110899,САНДВИЧАРНИЦА ЕООД,Варна,ВАРНА,Restaurant,Bronze,Not Seasonal,Out of Home
107396,ХАМОС ЕООД,Варна,ПРОВАДИЯ,Restaurant,Bronze,Not Seasonal,Out of Home
107764,ОФИС НУЖДИТЕ ЗА SDO ЕООД,Бургас,БУРГАС,Restaurant,Bronze,Not Seasonal,Out of Home
110686,ПАВИЛИОН ЕООД,Бургас,РАВДА,Restaurant,Bronze,Seasonal,Out of Home
108560,СКАРА ПРИ КУКЕРА ЕООД,Варна,ВАРНА,Hotels,Bronze,Seasonal,Out of Home
100467,ПА ЧИНКИ ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Supermarket,Bronze,Seasonal,At Home
111508,КРИС БУРГЕР ЕООД,Бургас,БУРГАС,Restaurant,Silver,Not Seasonal,Out of Home
105619,ЗБХ ДО Р-Т МИРАЖ ЕООД,Бургас,НЕСЕБЪР,Bar,Silver,Seasonal,Out of Home
107279,РАЛИ ФУУД ЕООД,Бургас,ПРИМОРСКО,Hotels,Bronze,Seasonal,At Home
101800,ГО ГРИЛ ЕООД,Добрич,ДОБРИЧ,Local Shop,Bronze,Not Seasonal,At Home
111622,КАФЕНЕ ПРОХЛАДА ЕООД,Бургас,БУРГАС,Fast-food,Bronze,Seasonal,Out of Home
100462,БЪРЗО ХРАНЕНЕ ЕООД,Бургас,СЛЪНЧЕВ БРЯГ,Supermarket,Silver,Seasonal,At Home
107779,АВТОМИВКА ХЕЛА ЕООД,Бургас,ПРИМОРСКО,Restaurant,Bronze,Seasonal,Out of Home
100771,СТРИЙТ ФИШ ЕООД,Бургас,КАРНОБАТ,Supermarket,Bronze,Not Seasonal,At Home
104187,ИЗВОРА ЕООД,Бургас,ЦАРЕВО,Local Shop,Bronze,Not Seasonal,At Home
101066,ПБ АТИЯ ЕООД,Велико Търново,ВЕЛИКО ТЪРНОВО,Supermarket,Bronze,Not Seasonal,At Home
